operator,id_ticket,date,activity
Alam,6324/BJBR/Jul/2019,"2019-07-26 13:52:30.0",CLOSE
Fajar,6319/BJBR/Jul/2019,"2019-07-26 13:51:45.0",CLOSE
Fajar,6340/BJBR/Jul/2019,"2019-07-26 13:11:45.0",CLOSE
Fajar,6339/BJBR/Jul/2019,"2019-07-26 13:11:45.0",CLOSE
Paul,6341/BJBR/Jul/2019,"2019-07-26 11:19:30.0",CLOSE
Laura,6361/BRKR/Jul/2019,"2019-07-26 11:00:00.0",CLOSE
Laura,6229/BRKR/Jul/2019,"2019-07-26 11:00:00.0",CLOSE
Alam,6321/BJBR/Jul/2019,"2019-07-26 06:21:30.0",CLOSE
Paul,6296/BJBR/Jul/2019,"2019-07-25 19:02:45.0",CLOSE
Paul,6313/BJBR/Jul/2019,"2019-07-25 18:28:00.0",CLOSE
Vio,6304/BPRKS/Jul/2019,"2019-07-25 17:29:00.0",CLOSE
Paul,6316/BJBR/Jul/2019,"2019-07-25 17:08:45.0",CLOSE
Alam,6328/BJBR/Jul/2019,"2019-07-25 17:07:15.0",CLOSE
Vio,6298/BSBB/Jul/2019,"2019-07-25 17:03:00.0",CLOSE
Alam,6445/BJBR/Aug/2019,"2019-07-25 16:28:00.0",CLOSE
Paul,6310/BJBR/Jul/2019,"2019-07-25 15:35:45.0",CLOSE
Paul,6300/BJBR/Jul/2019,"2019-07-25 15:03:45.0",CLOSE
Vio,6312/BSBB/Jul/2019,"2019-07-25 14:10:00.0",CLOSE
Fajar,6244/BJBR/Jul/2019,"2019-07-25 13:51:45.0",CLOSE
Laura,6285/BPRKS/Jul/2019,"2019-07-25 13:48:00.0",CLOSE
Fajar,6309/BJBR/Jul/2019,"2019-07-25 13:21:00.0",CLOSE
Paul,6172/BJBR/Jul/2019,"2019-07-25 12:58:45.0",CLOSE
Siwi,6277/BRKR/Jul/2019,"2019-07-25 12:55:45.0",CLOSE
Paul,6192/BJBR/Jul/2019,"2019-07-25 12:50:45.0",CLOSE
Paul,6228/BJBR/Jul/2019,"2019-07-25 12:26:45.0",CLOSE
Fajar,6299/BJBR/Jul/2019,"2019-07-25 11:04:00.0",CLOSE
Paul,6297/BJBR/Jul/2019,"2019-07-25 10:29:45.0",CLOSE
Fajar,6216/BJBR/Jul/2019,"2019-07-25 09:58:00.0",CLOSE
Fajar,6215/BJBR/Jul/2019,"2019-07-25 09:53:00.0",CLOSE
Alam,6223/BJBR/Jul/2019,"2019-07-24 23:16:45.0",CLOSE
Alam,6293/BJBR/Jul/2019,"2019-07-24 20:06:15.0",CLOSE
Alam,6269/BJBR/Jul/2019,"2019-07-24 17:28:15.0",CLOSE
Alam,6283/BJBR/Jul/2019,"2019-07-24 16:25:15.0",CLOSE
Alam,6290/BJBR/Jul/2019,"2019-07-24 16:08:30.0",CLOSE
Vio,6278/BSBB/Jul/2019,"2019-07-24 15:30:00.0",CLOSE
Yefta,6279/BSBB/Jul/2019,"2019-07-24 15:17:15.0",CLOSE
Alam,6117/BJBR/Jul/2019,"2019-07-24 15:00:30.0",CLOSE
Alam,6284/BJBR/Jul/2019,"2019-07-24 15:00:15.0",CLOSE
Alam,6355/BJBR/Jul/2019,"2019-07-24 14:25:30.0",CLOSE
Alam,6254/BJBR/Jul/2019,"2019-07-24 13:17:15.0",CLOSE
